iter	TotalF1	MultiClass
368	0.9525586969	0.1355855
369	0.9525469951	0.1354691097
370	0.9525860671	0.1353910213
371	0.9526182404	0.1352468241
372	0.9526204931	0.1351441811
373	0.9527020221	0.1350570869
374	0.9526873689	0.1349755415
375	0.9527078411	0.1348904276
376	0.9527574503	0.1348289045
377	0.9528051269	0.134756811
378	0.9528012833	0.1345661565
379	0.9527838551	0.1344906024
380	0.9527635993	0.1343901779
381	0.9528541467	0.1342648552
382	0.9529048089	0.1341635631
383	0.9529850706	0.1340990931
384	0.9530011147	0.1340311614
385	0.9530185157	0.1339460414
386	0.9529777773	0.1337787337
387	0.9530381335	0.1337246989
388	0.9530665588	0.1336478975
389	0.9530441826	0.1335899866
390	0.953069635	0.1334646145
391	0.9530873956	0.1333328779
392	0.9530681656	0.1332111849
393	0.9531137014	0.1330720675
394	0.9531405925	0.1330144593
395	0.9531732243	0.1328650348
396	0.9531801853	0.1328174371
397	0.9532586119	0.1327114452
398	0.9532321711	0.1325779003
399	0.9532053237	0.1325001267
400	0.9532368037	0.1324031424
401	0.9532170242	0.1323284213
402	0.9532432527	0.1322726443
403	0.9532441372	0.1321908102
404	0.9532820808	0.132109916
405	0.9532993798	0.1320575382
